annotation_id,source_relative_path,source_group,selected_from_mode,selection_order,width,height,channels,mean,std,entropy,edge_density,label_status,pixels_background,pixels_candy_core,pixels_sticker,mask_relative_path,metadata_relative_path
1,basler_120126/Image__2026-01-12__16-46-40.bmp,basler_120126,raw,1,1920,1200,1,54.16573456790123,49.44026999810075,6.914495468139648,0.02766358024691358,complete,568168,127605,0,pixel_masks/basler_120126/Image__2026-01-12__16-46-40.png,metadata/basler_120126/Image__2026-01-12__16-46-40.json
2,basler_120126/Image__2026-01-12__16-58-18.bmp,basler_120126,raw,2,1920,1200,1,125.08056790123457,81.82921428977811,7.3367919921875,0.09224691358024692,complete,573846,372314,0,pixel_masks/basler_120126/Image__2026-01-12__16-58-18.png,metadata/basler_120126/Image__2026-01-12__16-58-18.json
3,basler_120126/Image__2026-01-12__16-58-42.bmp,basler_120126,raw,3,1920,1200,1,29.068166666666666,30.016583814998658,6.166776180267334,0.07873765432098766,complete,477781,373600,0,pixel_masks/basler_120126/Image__2026-01-12__16-58-42.png,metadata/basler_120126/Image__2026-01-12__16-58-42.json
4,basler_120126/Image__2026-01-12__17-01-40.bmp,basler_120126,raw,4,1920,1200,1,38.517336419753086,34.136360118861525,6.387386322021484,0.005012345679012346,complete,327051,47356,0,pixel_masks/basler_120126/Image__2026-01-12__17-01-40.png,metadata/basler_120126/Image__2026-01-12__17-01-40.json
5,basler_OldObj/Image__2025-12-29__16-03-48.bmp,basler_OldObj,raw,5,1920,1200,1,95.60362333333333,59.63752472678693,7.564718723297119,0.16365,complete,698622,668360,0,pixel_masks/basler_OldObj/Image__2025-12-29__16-03-48.png,metadata/basler_OldObj/Image__2025-12-29__16-03-48.json
6,basler_OldObj/Image__2025-12-29__16-13-32.bmp,basler_OldObj,raw,6,1920,1200,1,103.94605864197531,53.429696344271,7.509346961975098,0.14051543209876544,complete,639588,502973,0,pixel_masks/basler_OldObj/Image__2025-12-29__16-13-32.png,metadata/basler_OldObj/Image__2025-12-29__16-13-32.json
7,basler_OldObj/Image__2025-12-29__16-21-09.bmp,basler_OldObj,raw,7,1920,1200,1,150.36726234567902,41.57996755293082,7.315377235412598,0.19770370370370371,complete,431621,696466,0,pixel_masks/basler_OldObj/Image__2025-12-29__16-21-09.png,metadata/basler_OldObj/Image__2025-12-29__16-21-09.json
8,basler_OldObj/Image__2025-12-29__16-31-54.bmp,basler_OldObj,raw,8,1920,1200,1,176.0983611111111,25.726065247458898,6.579649925231934,0.0028333333333333335,complete,571951,19419,0,pixel_masks/basler_OldObj/Image__2025-12-29__16-31-54.png,metadata/basler_OldObj/Image__2025-12-29__16-31-54.json
9,basler_tstRGB/RGB_blue_E100000.bmp,basler_tstRGB,raw,9,1920,1200,1,194.63684111111112,61.903672454864896,6.1043853759765625,0.02491888888888889,complete,691278,137337,0,pixel_masks/basler_tstRGB/RGB_blue_E100000.png,metadata/basler_tstRGB/RGB_blue_E100000.json
10,basler_tstRGB/RGB_green_E100000.bmp,basler_tstRGB,raw,10,1920,1200,1,108.86175,42.37701058152154,7.299789905548096,0.022917777777777776,complete,520864,129541,0,pixel_masks/basler_tstRGB/RGB_green_E100000.png,metadata/basler_tstRGB/RGB_green_E100000.json
