source_relative_path,source_group,available_in_mode,label_exists,status,pixels_labeled,pixels_background,pixels_candy_core,pixels_sticker,width,height,error
basler_120126/Image__2026-01-12__16-46-40.bmp,basler_120126,yes,yes,complete,695773,568168,127605,0,1920,1200,
basler_120126/Image__2026-01-12__16-58-18.bmp,basler_120126,yes,yes,complete,946160,573846,372314,0,1920,1200,
basler_120126/Image__2026-01-12__16-58-42.bmp,basler_120126,yes,yes,complete,851381,477781,373600,0,1920,1200,
basler_120126/Image__2026-01-12__17-01-40.bmp,basler_120126,yes,yes,complete,374407,327051,47356,0,1920,1200,
basler_OldObj/Image__2025-12-29__16-03-48.bmp,basler_OldObj,yes,yes,complete,1366982,698622,668360,0,1920,1200,
basler_OldObj/Image__2025-12-29__16-13-32.bmp,basler_OldObj,yes,yes,complete,1142561,639588,502973,0,1920,1200,
basler_OldObj/Image__2025-12-29__16-21-09.bmp,basler_OldObj,yes,yes,complete,1128087,431621,696466,0,1920,1200,
basler_OldObj/Image__2025-12-29__16-31-54.bmp,basler_OldObj,yes,yes,complete,591370,571951,19419,0,1920,1200,
basler_tstRGB/RGB_blue_E100000.bmp,basler_tstRGB,yes,yes,complete,828615,691278,137337,0,1920,1200,
basler_tstRGB/RGB_green_E100000.bmp,basler_tstRGB,yes,yes,complete,650405,520864,129541,0,1920,1200,
basler_tstRGB/RGB_red_E100000.bmp,basler_tstRGB,yes,yes,complete,520111,405622,114489,0,1920,1200,
basler_tstRGB/RGB_white_E100000.bmp,basler_tstRGB,yes,yes,complete,828915,725497,103418,0,1920,1200,
images/20260116_161318_698.bmp,images,yes,yes,complete,955773,930749,14140,10884,2048,2048,
images/20260116_163011_675.bmp,images,yes,yes,complete,1448013,883172,564841,0,2048,2048,
images/20260116_163533_290.bmp,images,yes,yes,complete,1782941,728442,1038426,16073,2048,2048,
images/20260116_163948_436.bmp,images,yes,yes,complete,1182491,742443,346888,93160,2048,2048,
images/20260116_155328_028.bmp,images,yes,yes,complete,975882,870246,0,105636,2048,2048,
images/20260116_155330_685.bmp,images,yes,yes,complete,1122292,742648,358040,21604,2048,2048,
images/20260116_155331_134.bmp,images,yes,yes,complete,1600697,1234286,301607,64804,2048,2048,
images/20260116_155331_585.bmp,images,yes,yes,complete,882026,555979,259574,66473,2048,2048,
images/20260116_155332_035.bmp,images,yes,yes,complete,948711,738581,170838,39292,2048,2048,
images/20260116_155332_917.bmp,images,yes,yes,complete,706825,536853,86311,83661,2048,2048,
images/20260116_155333_375.bmp,images,yes,yes,complete,686774,504446,78349,103979,2048,2048,
images/20260116_155334_706.bmp,images,yes,yes,complete,967948,794281,147876,25791,2048,2048,
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,yes,yes,complete,531113,432002,99111,0,1920,1200,
basler_OldObj/Image__2025-12-29__16-04-24.bmp,basler_OldObj,yes,yes,complete,508913,493961,14952,0,1920,1200,
basler_OldObj/Image__2025-12-29__16-04-32.bmp,basler_OldObj,yes,yes,complete,396261,375328,20933,0,1920,1200,
basler_120126/Image__2026-01-12__16-50-09.bmp,basler_120126,yes,yes,complete,656514,428834,227680,0,1920,1200,
basler_120126/Image__2026-01-12__16-51-30.bmp,basler_120126,yes,yes,complete,891491,666501,224990,0,1920,1200,
