source_relative_path,source_group,split,original_width,original_height,training_width,training_height,scale,background_samples,candy_core_samples,sticker_samples
basler_120126/Image__2026-01-12__16-46-40.bmp,basler_120126,train,1920,1200,1000,625,0.520833,3500,3500,0
basler_120126/Image__2026-01-12__16-58-18.bmp,basler_120126,test,1920,1200,1000,625,0.520833,3500,3500,0
basler_120126/Image__2026-01-12__16-58-42.bmp,basler_120126,train,1920,1200,1000,625,0.520833,3500,3500,0
basler_120126/Image__2026-01-12__17-01-40.bmp,basler_120126,train,1920,1200,1000,625,0.520833,3500,3500,0
basler_OldObj/Image__2025-12-29__16-03-48.bmp,basler_OldObj,train,1920,1200,1000,625,0.520833,3500,3500,0
basler_OldObj/Image__2025-12-29__16-13-32.bmp,basler_OldObj,test,1920,1200,1000,625,0.520833,3500,3500,0
basler_OldObj/Image__2025-12-29__16-21-09.bmp,basler_OldObj,train,1920,1200,1000,625,0.520833,3500,3500,0
basler_OldObj/Image__2025-12-29__16-31-54.bmp,basler_OldObj,train,1920,1200,1000,625,0.520833,3500,3500,0
basler_tstRGB/RGB_blue_E100000.bmp,basler_tstRGB,train,1920,1200,1000,625,0.520833,3500,3500,0
basler_tstRGB/RGB_green_E100000.bmp,basler_tstRGB,train,1920,1200,1000,625,0.520833,3500,3500,0
basler_tstRGB/RGB_red_E100000.bmp,basler_tstRGB,test,1920,1200,1000,625,0.520833,3500,3500,0
basler_tstRGB/RGB_white_E100000.bmp,basler_tstRGB,train,1920,1200,1000,625,0.520833,3500,3500,0
images/20260116_161318_698.bmp,images,train,2048,2048,1000,1000,0.488281,3500,2741,1801
images/20260116_163011_675.bmp,images,train,2048,2048,1000,1000,0.488281,3500,3500,0
images/20260116_163533_290.bmp,images,train,2048,2048,1000,1000,0.488281,3500,3500,2545
images/20260116_163948_436.bmp,images,test,2048,2048,1000,1000,0.488281,3500,3500,3500
images/20260116_155328_028.bmp,images,train,2048,2048,1000,1000,0.488281,3500,0,3500
images/20260116_155330_685.bmp,images,train,2048,2048,1000,1000,0.488281,3500,3500,3500
images/20260116_155331_134.bmp,images,train,2048,2048,1000,1000,0.488281,3500,3500,3500
images/20260116_155331_585.bmp,images,test,2048,2048,1000,1000,0.488281,3500,3500,3500
images/20260116_155332_035.bmp,images,train,2048,2048,1000,1000,0.488281,3500,3500,3500
images/20260116_155332_917.bmp,images,test,2048,2048,1000,1000,0.488281,3500,3500,3500
images/20260116_155333_375.bmp,images,test,2048,2048,1000,1000,0.488281,3500,3500,3500
images/20260116_155334_706.bmp,images,train,2048,2048,1000,1000,0.488281,3500,3500,3500
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,train,1920,1200,1000,625,0.520833,3500,3500,0
basler_OldObj/Image__2025-12-29__16-04-24.bmp,basler_OldObj,train,1920,1200,1000,625,0.520833,3500,2963,0
basler_OldObj/Image__2025-12-29__16-04-32.bmp,basler_OldObj,train,1920,1200,1000,625,0.520833,3500,3500,0
basler_120126/Image__2026-01-12__16-50-09.bmp,basler_120126,train,1920,1200,1000,625,0.520833,3500,3500,0
basler_120126/Image__2026-01-12__16-51-30.bmp,basler_120126,train,1920,1200,1000,625,0.520833,3500,3500,0
