index,relative_path,source_group,used_for_training
1,basler_tstRGB/RGB_white_E100000.bmp,basler_tstRGB,yes
2,basler_120126/Image__2026-01-12__16-33-50.bmp,basler_120126,no
3,images/20260116_163044_184.bmp,images,no
4,basler_120126/Image__2026-01-12__17-05-33.bmp,basler_120126,no
5,images/20260116_160641_733.bmp,images,no
6,basler_120126/Image__2026-01-12__16-46-40.bmp,basler_120126,yes
7,basler_OldObj/Image__2025-12-29__16-10-17.bmp,basler_OldObj,no
8,basler_120126/Image__2026-01-12__16-34-45.bmp,basler_120126,no
9,basler_OldObj/Image__2025-12-29__16-07-44.bmp,basler_OldObj,no
10,basler_OldObj/Image__2025-12-29__16-11-37.bmp,basler_OldObj,no
11,basler_tstRGB/RGB_red_E100000.bmp,basler_tstRGB,yes
12,images/20260116_155335_190.bmp,images,no
13,images/20260116_163747_070.bmp,images,no
14,basler_tstRGB/RGB_blue_E100000.bmp,basler_tstRGB,yes
15,basler_OldObj/Image__2025-12-29__16-05-08.bmp,basler_OldObj,no
16,basler_120126/Image__2026-01-12__16-46-32.bmp,basler_120126,no
17,basler_120126/Image__2026-01-12__16-47-46.bmp,basler_120126,no
18,images/20260116_161102_375.bmp,images,no
19,images/20260116_155408_541.bmp,images,no
20,basler_OldObj/Image__2025-12-29__16-21-56.bmp,basler_OldObj,no
21,images/20260116_161550_834.bmp,images,no
22,basler_OldObj/Image__2025-12-29__16-32-29.bmp,basler_OldObj,no
23,basler_tstRGB/RGB_green_E100000.bmp,basler_tstRGB,yes
24,images/20260116_163358_585.bmp,images,no
25,images/20260116_163317_174.bmp,images,no
26,images/20260116_161332_022.bmp,images,no
27,basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,no
28,basler_120126/Image__2026-01-12__16-46-52.bmp,basler_120126,no
29,basler_OldObj/Image__2025-12-29__16-06-04.bmp,basler_OldObj,no
30,basler_OldObj/Image__2025-12-29__16-11-02.bmp,basler_OldObj,no
31,images/20260116_163557_765.bmp,images,no
32,basler_120126/Image__2026-01-12__16-47-16.bmp,basler_120126,no
33,images/20260116_163032_583.bmp,images,no
34,basler_120126/Image__2026-01-12__17-00-05.bmp,basler_120126,no
35,images/20260116_163826_240.bmp,images,no
36,basler_OldObj/Image__2025-12-29__16-08-42.bmp,basler_OldObj,no
37,basler_120126/Image__2026-01-12__16-50-37.bmp,basler_120126,no
38,basler_120126/Image__2026-01-12__16-48-35.bmp,basler_120126,no
39,basler_tstRGB/upper_white_E12000.bmp,basler_tstRGB,no
40,images/20260116_163012_554.bmp,images,no
