source_relative_path,source_group,candidate_id,center_x,center_y,area,bbox_x,bbox_y,bbox_width,bbox_height,max_radius,mean_gray,touches_border,strength,marker_score,marker_scale_radius,marker_mask_radius,marker_source
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,1,1530,828,4988,1503,794,73,89,33.560,117.923,no,strong,1.000000,36.000,25.975,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,2,1309,688,6799,1266,639,91,97,42.150,79.016,no,strong,0.764134,42.000,38.747,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,3,1684,553,26598,1584,515,218,209,52.597,151.339,no,strong,0.578853,30.000,29.969,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,4,1433,131,3007,1401,110,86,61,22.400,108.485,no,strong,0.485528,36.000,16.800,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,5,1786,637,435,1775,637,23,33,13.181,145.285,no,strong,0.379156,24.000,13.181,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,6,1646,112,13312,1592,0,120,221,44.741,116.041,yes,strong,0.370922,36.000,36.197,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,7,1593,631,413,1572,621,22,28,14.797,134.450,no,strong,0.362730,18.000,14.797,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,8,1310,314,6455,1268,260,89,113,34.353,111.652,no,strong,0.355550,42.000,21.772,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,9,1813,433,9,1813,433,9,9,10.591,128.333,no,strong,0.350163,18.000,10.591,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,10,1147,826,8117,1106,774,118,96,35.560,99.998,no,strong,0.329421,36.000,15.000,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,11,1005,433,37349,894,275,299,248,76.378,78.981,no,strong,0.324464,18.000,50.591,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,12,1126,385,24,1126,362,24,24,32.997,189.875,no,strong,0.323622,18.000,32.997,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,13,1306,456,32276,1204,306,291,242,52.166,113.578,no,strong,0.314798,18.000,30.197,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,14,1798,526,8122,1749,413,92,170,36.000,135.852,no,strong,0.282534,42.000,35.757,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,15,1349,404,16,1334,389,16,16,24.378,59.812,no,strong,0.268676,18.000,24.378,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,16,1695,37,435,1695,22,27,32,21.788,124.979,no,strong,0.268198,18.000,21.788,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,17,1637,193,9,1629,193,9,9,11.984,102.000,no,strong,0.245448,18.000,11.984,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,18,1353,496,70,1352,478,19,19,21.000,103.357,no,strong,0.240724,18.000,21.000,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,19,1082,205,18387,962,79,225,213,48.000,83.611,no,strong,0.226026,18.000,39.575,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,20,1480,112,4255,1403,70,104,80,22.594,102.849,no,strong,0.224327,24.000,21.388,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,21,1401,429,18,1401,429,18,18,25.200,133.167,no,strong,0.200618,18.000,25.200,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,22,1637,670,14,1624,670,14,14,17.181,105.786,no,strong,0.191319,18.000,17.181,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,23,1011,477,23,989,477,23,23,30.984,56.174,no,strong,0.185850,18.000,30.984,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,24,1190,559,20654,978,505,263,137,44.347,99.548,no,strong,0.185847,36.000,21.984,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,25,1062,451,27,1062,451,27,27,36.572,84.296,no,strong,0.181322,18.000,36.572,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,26,1470,414,14,1470,414,14,14,21.388,137.929,no,strong,0.177633,24.000,21.388,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,27,1093,577,16,1078,562,16,16,21.575,55.875,no,strong,0.174871,36.000,21.575,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,28,1153,231,17,1153,231,17,17,21.172,76.765,no,strong,0.163178,24.000,21.172,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,29,1203,418,855,1181,392,24,52,20.197,100.415,no,strong,0.162539,18.000,20.197,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,30,1448,336,7488,1385,216,122,136,24.575,120.281,no,weak,0.161902,18.000,19.181,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,31,1694,708,4186,1659,670,88,104,24.181,173.114,no,weak,0.160282,18.000,16.391,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,32,1304,520,437,1262,517,43,22,22.197,110.437,no,weak,0.160016,18.000,22.197,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,33,1124,456,17,1108,456,17,17,27.969,51.412,no,weak,0.159090,18.000,27.969,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,34,1611,503,872,1595,486,34,36,13.397,120.758,no,weak,0.148349,18.000,13.397,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,35,1023,583,8,1016,576,8,8,21.591,32.125,no,weak,0.139474,24.000,21.591,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,36,1056,388,27,1030,362,27,27,47.750,57.481,no,weak,0.137782,18.000,47.750,frst
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,37,886,440,1168,876,386,56,87,8.788,51.768,no,weak,0.002855,18.000,8.788,fallback
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,1,1585,675,17,1585,675,17,17,21.575,133.176,no,strong,0.983004,24.000,21.575,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,2,1531,735,39,1504,735,28,29,32.560,118.513,no,strong,0.526462,36.000,32.560,frst
