source_relative_path,source_group,raw_candy_pixels,cleaned_candy_pixels,raw_sticker_pixels,valid_sticker_pixels,valid_sticker,sticker_candidate_count,removed_fringe_pixels,removed_sensor_border_pixels,removed_border_pixels,removed_components,marker_count,candidate_count,strong_candidates,weak_candidates,elapsed_seconds,error
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,264109,207023,319097,0,no,0,28811,34873,0,122,37,37,29,8,3.518,
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,258685,237777,159832,0,no,0,24734,0,3391,172,38,38,30,8,2.673,
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,241431,185221,140851,0,no,0,24262,37819,0,84,30,30,24,6,2.353,
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,240102,181086,137650,0,no,0,26752,37516,0,50,30,30,24,6,2.342,
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,1123267,1107852,33858,0,no,0,33192,0,0,212,115,115,92,23,2.972,
basler_OldObj/Image__2025-12-29__16-02-54.bmp,basler_OldObj,1299002,1301222,61561,0,no,0,39733,0,0,500,127,127,101,26,3.379,
basler_OldObj/Image__2025-12-29__16-03-48.bmp,basler_OldObj,1312359,1322765,45320,0,no,0,31701,0,0,427,126,126,101,25,3.198,
basler_OldObj/Image__2025-12-29__16-04-04.bmp,basler_OldObj,6766,6427,695,0,no,0,275,0,0,28,1,1,1,0,2.151,
basler_OldObj/Image__2025-12-29__16-04-15.bmp,basler_OldObj,12113,11889,653,0,no,0,230,0,0,50,2,2,1,1,2.295,
basler_OldObj/Image__2025-12-29__16-04-24.bmp,basler_OldObj,19734,19528,599,0,no,0,272,0,0,57,3,3,2,1,2.183,
basler_OldObj/Image__2025-12-29__16-04-32.bmp,basler_OldObj,27388,27544,619,0,no,0,295,0,0,55,4,4,3,1,2.331,
basler_tstRGB/RGB_blue_E100000.bmp,basler_tstRGB,212434,180671,589593,0,no,0,33307,0,0,132,42,42,33,9,2.280,
basler_tstRGB/RGB_green_E100000.bmp,basler_tstRGB,210911,184484,52456,0,no,0,29838,0,0,63,30,30,24,6,2.328,
basler_tstRGB/RGB_red_E100000.bmp,basler_tstRGB,241520,256750,0,0,no,0,0,0,0,116,27,27,21,6,2.285,
basler_tstRGB/RGB_white_E100000.bmp,basler_tstRGB,193621,156578,1339376,0,no,0,37882,0,0,130,27,27,21,6,2.175,
basler_tstRGB/upper_white_E12000.bmp,basler_tstRGB,277470,302671,0,0,no,0,0,0,0,188,36,36,29,7,2.369,
images/20260116_155328_028.bmp,images,5715,108,108053,104340,yes,2,5488,0,0,15,0,0,0,0,4.830,
images/20260116_155330_685.bmp,images,657556,731502,22529,27023,yes,46,10084,0,0,624,31,31,25,6,15.529,
images/20260116_155331_134.bmp,images,674856,746723,65870,86850,yes,32,7306,0,0,417,32,32,25,7,12.033,
images/20260116_155331_585.bmp,images,591586,647433,70835,111461,yes,19,15811,0,0,332,31,31,25,6,9.727,
images/20260116_155332_035.bmp,images,549832,580216,50840,116494,yes,34,23642,0,0,369,25,25,20,5,12.395,
images/20260116_155332_917.bmp,images,226328,227546,87862,104419,yes,11,13045,0,0,112,12,12,9,3,7.262,
images/20260116_155333_375.bmp,images,177923,186836,108435,103281,yes,8,5703,0,0,61,9,9,7,2,6.307,
