source_relative_path,candidate_id,accepted,area_fraction,aspect_ratio,rectangularity,solidity,support_fraction,mean_gray,touches_border,score
images/20260116_155328_028.bmp,1,no,0.026353,1.8566,0.9827,0.9943,0.9824,246.183,no,8.2760
images/20260116_155328_028.bmp,2,yes,0.024715,1.8932,0.9876,0.9960,0.9984,253.547,no,8.4502
images/20260116_155330_685.bmp,1,no,0.001277,1.9808,0.8739,0.9611,0.8247,228.389,yes,6.3841
images/20260116_155330_685.bmp,2,no,0.000815,2.5740,0.3394,0.4870,0.5869,230.766,yes,4.7079
images/20260116_155330_685.bmp,3,no,0.004547,4.6562,0.9132,0.9817,0.9148,241.156,yes,6.6704
images/20260116_155330_685.bmp,4,no,0.000005,2.5000,0.3250,0.5000,0.5357,115.867,no,4.1095
images/20260116_155330_685.bmp,5,no,0.000010,2.3333,0.4405,0.6379,0.3585,115.474,no,4.1570
images/20260116_155330_685.bmp,6,no,0.000089,1.9730,0.4345,0.6687,0.9035,245.531,no,5.2089
images/20260116_155330_685.bmp,7,no,0.000104,1.1329,0.5251,0.7194,0.6340,229.064,no,5.2397
images/20260116_155330_685.bmp,8,no,0.000000,1.0000,1.0000,1.0000,1.0000,104.750,no,5.4108
images/20260116_155330_685.bmp,9,no,0.000100,2.1429,0.7333,0.8928,0.8194,237.730,yes,5.9664
images/20260116_155330_685.bmp,10,yes,0.006323,7.3667,0.8658,0.9883,0.8107,242.499,yes,7.5858
images/20260116_155330_685.bmp,11,no,0.001842,2.1820,0.4799,0.7705,0.3309,228.539,yes,5.0178
images/20260116_155330_685.bmp,12,no,0.000012,1.5385,0.7115,0.9136,0.6203,252.714,no,5.9539
images/20260116_155330_685.bmp,13,no,0.000012,1.0000,0.6429,0.8873,0.6719,244.884,no,5.6629
images/20260116_155330_685.bmp,14,no,0.001757,4.0792,0.5219,0.6951,0.2450,237.606,no,4.5660
images/20260116_155330_685.bmp,15,no,0.000172,7.3571,0.4847,0.6570,0.5462,203.928,no,4.7403
images/20260116_155330_685.bmp,16,no,0.000292,2.6644,0.4416,0.6881,0.2655,237.670,no,4.5148
images/20260116_155330_685.bmp,17,no,0.000036,3.1653,0.3291,0.4484,0.2615,242.961,no,3.9562
images/20260116_155330_685.bmp,18,no,0.000086,1.0000,0.5873,0.8760,0.5050,207.941,no,5.4303
images/20260116_155330_685.bmp,19,no,0.000006,1.0000,0.7600,0.9268,0.6667,245.167,no,5.9368
images/20260116_155330_685.bmp,20,no,0.000004,1.0000,0.7188,0.8846,0.6800,198.647,no,5.6657
images/20260116_155330_685.bmp,21,no,0.000958,2.6175,0.4575,0.6894,0.2370,215.841,no,4.4374
images/20260116_155330_685.bmp,22,no,0.000018,3.0909,0.5147,0.6210,0.5455,244.021,no,5.0968
images/20260116_155330_685.bmp,23,no,0.006624,2.1719,0.3234,0.4785,0.0505,222.535,no,3.7675
images/20260116_155330_685.bmp,24,no,0.001039,2.2500,0.2339,0.3843,0.0482,206.350,no,3.1392
images/20260116_155330_685.bmp,25,no,0.000142,6.7176,0.4840,0.6575,0.2619,212.551,no,4.1862
images/20260116_155330_685.bmp,26,no,0.000012,2.0909,0.6917,0.8974,0.6567,203.318,no,5.7825
images/20260116_155330_685.bmp,27,no,0.000004,1.0000,0.7188,0.8846,0.6800,215.471,no,5.7185
images/20260116_155330_685.bmp,28,no,0.001672,1.9638,0.5583,0.8398,0.1782,222.781,no,4.7894
images/20260116_155330_685.bmp,29,no,0.000225,1.2963,0.4360,0.6358,0.1181,222.697,no,3.9625
images/20260116_155330_685.bmp,30,no,0.000168,2.1238,0.5070,0.7087,0.3777,221.601,no,5.0636
images/20260116_155330_685.bmp,31,no,0.000099,4.0872,0.3538,0.5175,0.2239,237.200,no,3.8506
images/20260116_155330_685.bmp,32,no,0.000005,1.2500,0.7750,0.9118,0.7333,211.318,no,5.8893
images/20260116_155330_685.bmp,33,no,0.000004,1.0000,0.8125,0.9286,0.6800,196.706,no,5.8911
images/20260116_155330_685.bmp,34,no,0.000007,1.2000,0.7833,0.9400,0.7143,200.800,no,5.8924
images/20260116_155330_685.bmp,35,no,0.000090,1.9048,0.6105,0.8861,0.5620,249.948,no,5.8096
images/20260116_155330_685.bmp,36,no,0.000298,1.3167,0.4493,0.7473,0.2643,208.148,no,4.5174
images/20260116_155330_685.bmp,37,no,0.000018,1.5714,0.7468,0.9127,0.6250,238.867,no,5.9882
