slot,cvat_filename,original_path,required_case,rule_is_clear
01,01__basler_120126__Image__2026-01-12__16-32-11.bmp,basler_120126/Image__2026-01-12__16-32-11.bmp,clear_wrapped,yes
02,02__basler_120126__Image__2026-01-12__16-36-56.bmp,basler_120126/Image__2026-01-12__16-36-56.bmp,clear_unwrapped,yes
03,03__basler_120126__Image__2026-01-12__17-00-15.bmp,basler_120126/Image__2026-01-12__17-00-15.bmp,dense_overlap,yes
04,04__basler_120126__Image__2026-01-12__16-33-50.bmp,basler_120126/Image__2026-01-12__16-33-50.bmp,border_candy,yes
05,05__basler_120126__Image__2026-01-12__16-58-18.bmp,basler_120126/Image__2026-01-12__16-58-18.bmp,difficult_lighting_or_blur,no
06,06__basler_120126__Image__2026-01-12__17-00-05.bmp,basler_120126/Image__2026-01-12__17-00-05.bmp,ambiguous_or_artifact,no
07,07__basler_OldObj__Image__2025-12-29__16-04-04.bmp,basler_OldObj/Image__2025-12-29__16-04-04.bmp,clear_unwrapped_single,yes
08,08__basler_OldObj__Image__2025-12-29__16-05-08.bmp,basler_OldObj/Image__2025-12-29__16-05-08.bmp,several_unwrapped,yes
09,09__basler_OldObj__Image__2025-12-29__16-07-28.bmp,basler_OldObj/Image__2025-12-29__16-07-28.bmp,clear_wrapped,yes
10,10__basler_OldObj__Image__2025-12-29__16-02-54.bmp,basler_OldObj/Image__2025-12-29__16-02-54.bmp,dense_overlap,yes
11,11__basler_OldObj__Image__2025-12-29__16-09-21.bmp,basler_OldObj/Image__2025-12-29__16-09-21.bmp,border_candy,yes
12,12__basler_OldObj__Image__2025-12-29__16-12-05.bmp,basler_OldObj/Image__2025-12-29__16-12-05.bmp,ambiguous_or_artifact,no
13,13__basler_tstRGB__RGB_blue_E100000.bmp,basler_tstRGB/RGB_blue_E100000.bmp,clear_unwrapped,yes
14,14__basler_tstRGB__RGB_green_E100000.bmp,basler_tstRGB/RGB_green_E100000.bmp,mixed_wrapped_unwrapped,yes
15,15__basler_tstRGB__upper_white_E12000.bmp,basler_tstRGB/upper_white_E12000.bmp,moderate_overlap_or_wrapper_overlap,yes
16,16__basler_tstRGB__RGB_red_E100000.bmp,basler_tstRGB/RGB_red_E100000.bmp,border_candy,yes
17,17__basler_tstRGB__RGB_white_E100000.bmp,basler_tstRGB/RGB_white_E100000.bmp,difficult_lighting_or_overexposure,yes
18,18__images__20260116_155352_059.bmp,images/20260116_155352_059.bmp,sticker_with_candies,yes
19,19__images__20260116_155328_028.bmp,images/20260116_155328_028.bmp,sticker_without_candies,yes
20,20__images__20260116_155349_837.bmp,images/20260116_155349_837.bmp,clear_wrapped,yes
21,21__images__20260116_155409_927.bmp,images/20260116_155409_927.bmp,clear_unwrapped,yes
22,22__images__20260116_163012_120.bmp,images/20260116_163012_120.bmp,moderate_overlap_or_wrapper_overlap,yes
23,23__images__20260116_161622_390.bmp,images/20260116_161622_390.bmp,border_candy,yes
