slot,filename,wrapped_count,unwrapped_count,total_boxes,negative_image,label_file
01,01__basler_120126__Image__2026-01-12__16-32-11.bmp,10,10,20,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/01__basler_120126__Image__2026-01-12__16-32-11.txt
02,02__basler_120126__Image__2026-01-12__16-36-56.bmp,19,10,29,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/02__basler_120126__Image__2026-01-12__16-36-56.txt
03,03__basler_120126__Image__2026-01-12__17-00-15.bmp,61,10,71,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/03__basler_120126__Image__2026-01-12__17-00-15.txt
04,04__basler_120126__Image__2026-01-12__16-33-50.bmp,6,6,12,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/04__basler_120126__Image__2026-01-12__16-33-50.txt
05,05__basler_120126__Image__2026-01-12__16-58-18.bmp,52,8,60,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/05__basler_120126__Image__2026-01-12__16-58-18.txt
06,06__basler_120126__Image__2026-01-12__17-00-05.bmp,58,9,67,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/06__basler_120126__Image__2026-01-12__17-00-05.txt
07,07__basler_OldObj__Image__2025-12-29__16-04-04.bmp,0,1,1,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/07__basler_OldObj__Image__2025-12-29__16-04-04.txt
08,08__basler_OldObj__Image__2025-12-29__16-05-08.bmp,0,7,7,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/08__basler_OldObj__Image__2025-12-29__16-05-08.txt
09,09__basler_OldObj__Image__2025-12-29__16-07-28.bmp,1,9,10,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/09__basler_OldObj__Image__2025-12-29__16-07-28.txt
10,10__basler_OldObj__Image__2025-12-29__16-02-54.bmp,128,10,138,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/10__basler_OldObj__Image__2025-12-29__16-02-54.txt
11,11__basler_OldObj__Image__2025-12-29__16-09-21.bmp,17,4,21,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/11__basler_OldObj__Image__2025-12-29__16-09-21.txt
12,12__basler_OldObj__Image__2025-12-29__16-12-05.bmp,56,7,63,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/12__basler_OldObj__Image__2025-12-29__16-12-05.txt
13,13__basler_tstRGB__RGB_blue_E100000.bmp,10,11,21,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/13__basler_tstRGB__RGB_blue_E100000.txt
14,14__basler_tstRGB__RGB_green_E100000.bmp,10,11,21,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/14__basler_tstRGB__RGB_green_E100000.txt
15,15__basler_tstRGB__upper_white_E12000.bmp,15,11,26,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/15__basler_tstRGB__upper_white_E12000.txt
16,16__basler_tstRGB__RGB_red_E100000.bmp,10,11,21,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/16__basler_tstRGB__RGB_red_E100000.txt
17,17__basler_tstRGB__RGB_white_E100000.bmp,10,11,21,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/17__basler_tstRGB__RGB_white_E100000.txt
18,18__images__20260116_155352_059.bmp,1,1,2,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/18__images__20260116_155352_059.txt
19,19__images__20260116_155328_028.bmp,0,0,0,yes,
20,20__images__20260116_155349_837.bmp,7,3,10,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/20__images__20260116_155349_837.txt
21,21__images__20260116_155409_927.bmp,0,4,4,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/21__images__20260116_155409_927.txt
22,22__images__20260116_163012_120.bmp,45,7,52,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/22__images__20260116_163012_120.txt
23,23__images__20260116_161622_390.bmp,13,1,14,no,/home/georgy/SummerPractic2026/candy_quality_control/yolo/annotation/qa_pilot23/extracted/labels/train/23__images__20260116_161622_390.txt
