relative_path,group,filename,extension,size_bytes,size_mb,sha256,width,height,megapixels,mode,channels,mean_gray,std_gray,dynamic_range_p01_p99,sharpness_laplacian,dhash,status,error,duplicate_group
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,Image__2026-01-12__16-31-10.bmp,.bmp,2305078,2.1983,fa64b90523935b72d8684b19e63f539f573eb946c1b587a41ddef7c54ff82d82,1920,1200,2.304,L,1,106.4025,86.4245,243.0,893.8564,fffffefefefefefe,ok,,
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,Image__2026-01-12__16-32-11.bmp,.bmp,2305078,2.1983,75ef8597599a3fe63c3bcfe6805f499bc1c0c4d2ef8ac314d00efc87ad84d4b9,1920,1200,2.304,L,1,91.4922,79.5498,246.0,776.0913,fffefefefbfefefe,ok,,
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,Image__2026-01-12__16-32-40.bmp,.bmp,2305078,2.1983,254a39021b8ddefa96e30b4d5a7ceb01d151e391be5f8f0828be5789549074aa,1920,1200,2.304,L,1,91.7694,78.018,245.0,736.965,fffffefefbfefefe,ok,,
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,Image__2026-01-12__16-32-51.bmp,.bmp,2305078,2.1983,ce32c4cba6b5223bfedfab5235bf4bec961bcad05056eb7eba412b103de5874c,1920,1200,2.304,L,1,91.531,77.2961,245.0,762.0013,fffffefefbfefefe,ok,,
basler_120126/Image__2026-01-12__16-33-42.bmp,basler_120126,Image__2026-01-12__16-33-42.bmp,.bmp,2305078,2.1983,6ff4a4951eb2d5196d7b2098f524073e3ab78c3f385eff925f652f646e3c232f,1920,1200,2.304,L,1,97.7076,84.0542,246.0,373.2679,fffefefefefefefe,ok,,
basler_120126/Image__2026-01-12__16-33-50.bmp,basler_120126,Image__2026-01-12__16-33-50.bmp,.bmp,2305078,2.1983,8f0806ee7459f37ef0c5c8791e6ab36357770ce6408a8c5587eb889e22a8f222,1920,1200,2.304,L,1,98.1875,83.4944,245.0,304.7714,fffefefefefefefe,ok,,
basler_120126/Image__2026-01-12__16-33-57.bmp,basler_120126,Image__2026-01-12__16-33-57.bmp,.bmp,2305078,2.1983,3d1438e143ce306cede75f1c0699679b4f5c5c695cd94572132b2e02714a2bf5,1920,1200,2.304,L,1,92.8875,80.8735,245.0,765.5026,fffffff7fefefefe,ok,,
basler_120126/Image__2026-01-12__16-34-15.bmp,basler_120126,Image__2026-01-12__16-34-15.bmp,.bmp,2305078,2.1983,0fbce3350efeffab298e3b1e9676ec761186d14a2baf14b0524b169f2747c4fd,1920,1200,2.304,L,1,90.2018,80.8896,247.0,885.2163,fffffff7fefefefe,ok,,
basler_120126/Image__2026-01-12__16-34-27.bmp,basler_120126,Image__2026-01-12__16-34-27.bmp,.bmp,2305078,2.1983,c480cf408ffba245148e75d09384c5ff42a438985112c0d5568e04621c9f55ef,1920,1200,2.304,L,1,91.2479,80.7447,246.0,875.354,fffffff7fefefefe,ok,,
basler_120126/Image__2026-01-12__16-34-45.bmp,basler_120126,Image__2026-01-12__16-34-45.bmp,.bmp,2305078,2.1983,2e4f9c9fd744d7f0110d652575f26ca4dc383d8a193f2ba595c6ff3a38eccd87,1920,1200,2.304,L,1,92.9005,79.8751,245.0,775.3322,fffefefefefbfafe,ok,,
basler_120126/Image__2026-01-12__16-34-57.bmp,basler_120126,Image__2026-01-12__16-34-57.bmp,.bmp,2305078,2.1983,cbb5488cb1f561f5b82980d35ba81e0c9556be33f8fb6dfab2e8e3d1093ea939,1920,1200,2.304,L,1,89.4769,78.9351,247.0,902.1994,fffefefefefbfafe,ok,,
basler_120126/Image__2026-01-12__16-36-17.bmp,basler_120126,Image__2026-01-12__16-36-17.bmp,.bmp,2305078,2.1983,26cf1fe71ac0be28c7621c1d4e96b5ebc06ba3ba41707df8b00aa1155b06ae28,1920,1200,2.304,L,1,94.7436,83.515,245.0,857.4028,fffefefefefefefe,ok,,
basler_120126/Image__2026-01-12__16-36-30.bmp,basler_120126,Image__2026-01-12__16-36-30.bmp,.bmp,2305078,2.1983,6c6c363ea162b14da2eda9dadcbb148573af6eb644d0ffc11e8115f2077a52be,1920,1200,2.304,L,1,93.7885,83.7858,246.0,941.8965,fffefefefefefefe,ok,,
basler_120126/Image__2026-01-12__16-36-44.bmp,basler_120126,Image__2026-01-12__16-36-44.bmp,.bmp,2305078,2.1983,784c553c5fb69b3ef65b25a98019cdcbe8e5109cbb0d1db1005b64cb08f7fe15,1920,1200,2.304,L,1,92.269,83.4117,246.0,1104.2698,fffffefefefefefe,ok,,
basler_120126/Image__2026-01-12__16-36-56.bmp,basler_120126,Image__2026-01-12__16-36-56.bmp,.bmp,2305078,2.1983,01ac1bbb714faa8f498426284f3265d3911d173f9ff659f3f9ec67d70498fcdd,1920,1200,2.304,L,1,90.525,83.7147,247.0,1132.5621,fff7fefefefefefe,ok,,
basler_120126/Image__2026-01-12__16-37-46.bmp,basler_120126,Image__2026-01-12__16-37-46.bmp,.bmp,2305078,2.1983,4b2f42448ae2a865fe8ffbc67abc9f207a537dae8764630477fa4bb8471ae362,1920,1200,2.304,L,1,94.145,81.4033,246.0,512.9086,fffefefffefefefe,ok,,
basler_120126/Image__2026-01-12__16-38-59.bmp,basler_120126,Image__2026-01-12__16-38-59.bmp,.bmp,2305078,2.1983,141d17e150ac9785773deb60a6ea63ccd3a7a1d191919d02db9ec1965ac8f054,1920,1200,2.304,L,1,91.4238,80.9455,247.0,599.894,fffefefffefefefe,ok,,
basler_120126/Image__2026-01-12__16-45-29.bmp,basler_120126,Image__2026-01-12__16-45-29.bmp,.bmp,2305078,2.1983,1aad6675c7febebaac7c63227c91fde402ca954c5b6b5beb15ef4dd46059bd89,1920,1200,2.304,L,1,90.1602,79.2342,246.0,812.8513,fffffffffffefefe,ok,,
basler_120126/Image__2026-01-12__16-46-32.bmp,basler_120126,Image__2026-01-12__16-46-32.bmp,.bmp,2305078,2.1983,3b07d9170428571918932ae73c22db6a41e9e362974a158f87ccca32b613ec94,1920,1200,2.304,L,1,90.7449,78.4104,246.0,887.5659,fffefffffffefefe,ok,,
basler_120126/Image__2026-01-12__16-46-40.bmp,basler_120126,Image__2026-01-12__16-46-40.bmp,.bmp,2305078,2.1983,4c8efd3a58465f29829d2d43b8a3e7c3b8843babb4ebbe4558cad19e223a4e1d,1920,1200,2.304,L,1,54.1619,49.4354,161.0,552.7263,fffefffffffefefe,ok,,
basler_120126/Image__2026-01-12__16-46-52.bmp,basler_120126,Image__2026-01-12__16-46-52.bmp,.bmp,2305078,2.1983,f59cb361a253c64720eb598a9395459e95d8b86be96cf9774c3ead2d3728185e,1920,1200,2.304,L,1,74.0729,64.5471,214.0,763.3178,fffefffffffefefe,ok,,
