hamming_distance,left_path,right_path
0,basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126/Image__2026-01-12__16-36-44.bmp
0,basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126/Image__2026-01-12__17-01-40.bmp
0,basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126/Image__2026-01-12__17-02-44.bmp
0,basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126/Image__2026-01-12__17-04-57.bmp
0,basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126/Image__2026-01-12__16-32-51.bmp
0,basler_120126/Image__2026-01-12__16-33-42.bmp,basler_120126/Image__2026-01-12__16-33-50.bmp
0,basler_120126/Image__2026-01-12__16-33-42.bmp,basler_120126/Image__2026-01-12__16-36-17.bmp
0,basler_120126/Image__2026-01-12__16-33-42.bmp,basler_120126/Image__2026-01-12__16-36-30.bmp
0,basler_120126/Image__2026-01-12__16-33-42.bmp,basler_120126/Image__2026-01-12__16-58-42.bmp
0,basler_120126/Image__2026-01-12__16-33-42.bmp,basler_120126/Image__2026-01-12__17-01-23.bmp
0,basler_120126/Image__2026-01-12__16-33-50.bmp,basler_120126/Image__2026-01-12__16-36-17.bmp
0,basler_120126/Image__2026-01-12__16-33-50.bmp,basler_120126/Image__2026-01-12__16-36-30.bmp
0,basler_120126/Image__2026-01-12__16-33-50.bmp,basler_120126/Image__2026-01-12__16-58-42.bmp
0,basler_120126/Image__2026-01-12__16-33-50.bmp,basler_120126/Image__2026-01-12__17-01-23.bmp
0,basler_120126/Image__2026-01-12__16-33-57.bmp,basler_120126/Image__2026-01-12__16-34-15.bmp
0,basler_120126/Image__2026-01-12__16-33-57.bmp,basler_120126/Image__2026-01-12__16-34-27.bmp
0,basler_120126/Image__2026-01-12__16-34-15.bmp,basler_120126/Image__2026-01-12__16-34-27.bmp
0,basler_120126/Image__2026-01-12__16-34-45.bmp,basler_120126/Image__2026-01-12__16-34-57.bmp
0,basler_120126/Image__2026-01-12__16-36-17.bmp,basler_120126/Image__2026-01-12__16-36-30.bmp
0,basler_120126/Image__2026-01-12__16-36-17.bmp,basler_120126/Image__2026-01-12__16-58-42.bmp
0,basler_120126/Image__2026-01-12__16-36-17.bmp,basler_120126/Image__2026-01-12__17-01-23.bmp
0,basler_120126/Image__2026-01-12__16-36-30.bmp,basler_120126/Image__2026-01-12__16-58-42.bmp
0,basler_120126/Image__2026-01-12__16-36-30.bmp,basler_120126/Image__2026-01-12__17-01-23.bmp
0,basler_120126/Image__2026-01-12__16-36-44.bmp,basler_120126/Image__2026-01-12__17-01-40.bmp
0,basler_120126/Image__2026-01-12__16-36-44.bmp,basler_120126/Image__2026-01-12__17-02-44.bmp
0,basler_120126/Image__2026-01-12__16-36-44.bmp,basler_120126/Image__2026-01-12__17-04-57.bmp
0,basler_120126/Image__2026-01-12__16-37-46.bmp,basler_120126/Image__2026-01-12__16-38-59.bmp
0,basler_120126/Image__2026-01-12__16-37-46.bmp,basler_120126/Image__2026-01-12__16-47-38.bmp
0,basler_120126/Image__2026-01-12__16-37-46.bmp,basler_120126/Image__2026-01-12__16-47-46.bmp
0,basler_120126/Image__2026-01-12__16-38-59.bmp,basler_120126/Image__2026-01-12__16-47-38.bmp
0,basler_120126/Image__2026-01-12__16-38-59.bmp,basler_120126/Image__2026-01-12__16-47-46.bmp
0,basler_120126/Image__2026-01-12__16-45-29.bmp,basler_120126/Image__2026-01-12__16-48-58.bmp
0,basler_120126/Image__2026-01-12__16-45-29.bmp,basler_120126/Image__2026-01-12__17-00-15.bmp
0,basler_120126/Image__2026-01-12__16-46-32.bmp,basler_120126/Image__2026-01-12__16-46-40.bmp
0,basler_120126/Image__2026-01-12__16-46-32.bmp,basler_120126/Image__2026-01-12__16-46-52.bmp
0,basler_120126/Image__2026-01-12__16-46-40.bmp,basler_120126/Image__2026-01-12__16-46-52.bmp
0,basler_120126/Image__2026-01-12__16-47-08.bmp,basler_120126/Image__2026-01-12__16-47-16.bmp
0,basler_120126/Image__2026-01-12__16-47-38.bmp,basler_120126/Image__2026-01-12__16-47-46.bmp
0,basler_120126/Image__2026-01-12__16-48-58.bmp,basler_120126/Image__2026-01-12__17-00-15.bmp
0,basler_120126/Image__2026-01-12__16-50-09.bmp,basler_120126/Image__2026-01-12__16-50-23.bmp
0,basler_120126/Image__2026-01-12__16-50-09.bmp,basler_120126/Image__2026-01-12__16-51-20.bmp
0,basler_120126/Image__2026-01-12__16-50-23.bmp,basler_120126/Image__2026-01-12__16-51-20.bmp
0,basler_120126/Image__2026-01-12__16-58-42.bmp,basler_120126/Image__2026-01-12__17-01-23.bmp
0,basler_120126/Image__2026-01-12__17-00-32.bmp,basler_OldObj/Image__2025-12-29__16-04-04.bmp
0,basler_120126/Image__2026-01-12__17-00-32.bmp,basler_OldObj/Image__2025-12-29__16-04-24.bmp
0,basler_120126/Image__2026-01-12__17-00-32.bmp,basler_OldObj/Image__2025-12-29__16-04-32.bmp
0,basler_120126/Image__2026-01-12__17-00-32.bmp,basler_OldObj/Image__2025-12-29__16-05-08.bmp
0,basler_120126/Image__2026-01-12__17-00-32.bmp,basler_OldObj/Image__2025-12-29__16-05-24.bmp
0,basler_120126/Image__2026-01-12__17-00-32.bmp,basler_OldObj/Image__2025-12-29__16-06-19.bmp
0,basler_120126/Image__2026-01-12__17-00-32.bmp,basler_OldObj/Image__2025-12-29__16-06-32.bmp
0,basler_120126/Image__2026-01-12__17-00-32.bmp,basler_OldObj/Image__2025-12-29__16-07-22.bmp
0,basler_120126/Image__2026-01-12__17-00-32.bmp,basler_OldObj/Image__2025-12-29__16-07-28.bmp
0,basler_120126/Image__2026-01-12__17-00-32.bmp,basler_OldObj/Image__2025-12-29__16-07-33.bmp
0,basler_120126/Image__2026-01-12__17-00-32.bmp,basler_OldObj/Image__2025-12-29__16-07-39.bmp
0,basler_120126/Image__2026-01-12__17-00-32.bmp,basler_OldObj/Image__2025-12-29__16-07-44.bmp
0,basler_120126/Image__2026-01-12__17-00-32.bmp,basler_OldObj/Image__2025-12-29__16-08-16.bmp
0,basler_120126/Image__2026-01-12__17-00-32.bmp,basler_OldObj/Image__2025-12-29__16-31-03.bmp
0,basler_120126/Image__2026-01-12__17-00-32.bmp,basler_OldObj/Image__2025-12-29__16-31-10.bmp
0,basler_120126/Image__2026-01-12__17-01-40.bmp,basler_120126/Image__2026-01-12__17-02-44.bmp
0,basler_120126/Image__2026-01-12__17-01-40.bmp,basler_120126/Image__2026-01-12__17-04-57.bmp
0,basler_120126/Image__2026-01-12__17-02-44.bmp,basler_120126/Image__2026-01-12__17-04-57.bmp
0,basler_OldObj/Image__2025-12-29__16-04-04.bmp,basler_OldObj/Image__2025-12-29__16-04-24.bmp
0,basler_OldObj/Image__2025-12-29__16-04-04.bmp,basler_OldObj/Image__2025-12-29__16-04-32.bmp
0,basler_OldObj/Image__2025-12-29__16-04-04.bmp,basler_OldObj/Image__2025-12-29__16-05-08.bmp
0,basler_OldObj/Image__2025-12-29__16-04-04.bmp,basler_OldObj/Image__2025-12-29__16-05-24.bmp
0,basler_OldObj/Image__2025-12-29__16-04-04.bmp,basler_OldObj/Image__2025-12-29__16-06-19.bmp
0,basler_OldObj/Image__2025-12-29__16-04-04.bmp,basler_OldObj/Image__2025-12-29__16-06-32.bmp
0,basler_OldObj/Image__2025-12-29__16-04-04.bmp,basler_OldObj/Image__2025-12-29__16-07-22.bmp
0,basler_OldObj/Image__2025-12-29__16-04-04.bmp,basler_OldObj/Image__2025-12-29__16-07-28.bmp
0,basler_OldObj/Image__2025-12-29__16-04-04.bmp,basler_OldObj/Image__2025-12-29__16-07-33.bmp
0,basler_OldObj/Image__2025-12-29__16-04-04.bmp,basler_OldObj/Image__2025-12-29__16-07-39.bmp
0,basler_OldObj/Image__2025-12-29__16-04-04.bmp,basler_OldObj/Image__2025-12-29__16-07-44.bmp
0,basler_OldObj/Image__2025-12-29__16-04-04.bmp,basler_OldObj/Image__2025-12-29__16-08-16.bmp
0,basler_OldObj/Image__2025-12-29__16-04-04.bmp,basler_OldObj/Image__2025-12-29__16-31-03.bmp
0,basler_OldObj/Image__2025-12-29__16-04-04.bmp,basler_OldObj/Image__2025-12-29__16-31-10.bmp
0,basler_OldObj/Image__2025-12-29__16-04-15.bmp,basler_OldObj/Image__2025-12-29__16-04-40.bmp
0,basler_OldObj/Image__2025-12-29__16-04-15.bmp,basler_OldObj/Image__2025-12-29__16-04-46.bmp
0,basler_OldObj/Image__2025-12-29__16-04-24.bmp,basler_OldObj/Image__2025-12-29__16-04-32.bmp
0,basler_OldObj/Image__2025-12-29__16-04-24.bmp,basler_OldObj/Image__2025-12-29__16-05-08.bmp
0,basler_OldObj/Image__2025-12-29__16-04-24.bmp,basler_OldObj/Image__2025-12-29__16-05-24.bmp
0,basler_OldObj/Image__2025-12-29__16-04-24.bmp,basler_OldObj/Image__2025-12-29__16-06-19.bmp
0,basler_OldObj/Image__2025-12-29__16-04-24.bmp,basler_OldObj/Image__2025-12-29__16-06-32.bmp
0,basler_OldObj/Image__2025-12-29__16-04-24.bmp,basler_OldObj/Image__2025-12-29__16-07-22.bmp
0,basler_OldObj/Image__2025-12-29__16-04-24.bmp,basler_OldObj/Image__2025-12-29__16-07-28.bmp
0,basler_OldObj/Image__2025-12-29__16-04-24.bmp,basler_OldObj/Image__2025-12-29__16-07-33.bmp
0,basler_OldObj/Image__2025-12-29__16-04-24.bmp,basler_OldObj/Image__2025-12-29__16-07-39.bmp
