relative_path,group,has_unwrapped,has_sticker,has_border_candy,crowding,review_status,notes
basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-33-42.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-33-50.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-33-57.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-34-15.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-34-27.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-34-45.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-34-57.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-36-17.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-36-30.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-36-44.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-36-56.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-37-46.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-38-59.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-45-29.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-46-32.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-46-40.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-46-52.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-47-08.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-47-16.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-47-38.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-47-46.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-48-35.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-48-48.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-48-58.bmp,basler_120126,,,,,,
basler_120126/Image__2026-01-12__16-50-09.bmp,basler_120126,,,,,,
