source_set,source_path,filename,wrapped_count,unwrapped_count,total_boxes,has_label_file
pilot23,basler_120126/Image__2026-01-12__16-32-11.bmp,01__basler_120126__Image__2026-01-12__16-32-11.bmp,10,10,20,yes
pilot23,basler_120126/Image__2026-01-12__16-36-56.bmp,02__basler_120126__Image__2026-01-12__16-36-56.bmp,19,10,29,yes
pilot23,basler_120126/Image__2026-01-12__17-00-15.bmp,03__basler_120126__Image__2026-01-12__17-00-15.bmp,61,10,71,yes
pilot23,basler_120126/Image__2026-01-12__16-33-50.bmp,04__basler_120126__Image__2026-01-12__16-33-50.bmp,6,6,12,yes
pilot23,basler_120126/Image__2026-01-12__16-58-18.bmp,05__basler_120126__Image__2026-01-12__16-58-18.bmp,52,8,60,yes
pilot23,basler_120126/Image__2026-01-12__17-00-05.bmp,06__basler_120126__Image__2026-01-12__17-00-05.bmp,58,9,67,yes
pilot23,basler_OldObj/Image__2025-12-29__16-04-04.bmp,07__basler_OldObj__Image__2025-12-29__16-04-04.bmp,0,1,1,yes
pilot23,basler_OldObj/Image__2025-12-29__16-05-08.bmp,08__basler_OldObj__Image__2025-12-29__16-05-08.bmp,0,7,7,yes
pilot23,basler_OldObj/Image__2025-12-29__16-07-28.bmp,09__basler_OldObj__Image__2025-12-29__16-07-28.bmp,1,9,10,yes
pilot23,basler_OldObj/Image__2025-12-29__16-02-54.bmp,10__basler_OldObj__Image__2025-12-29__16-02-54.bmp,128,10,138,yes
pilot23,basler_OldObj/Image__2025-12-29__16-09-21.bmp,11__basler_OldObj__Image__2025-12-29__16-09-21.bmp,17,4,21,yes
pilot23,basler_OldObj/Image__2025-12-29__16-12-05.bmp,12__basler_OldObj__Image__2025-12-29__16-12-05.bmp,56,7,63,yes
pilot23,basler_tstRGB/RGB_blue_E100000.bmp,13__basler_tstRGB__RGB_blue_E100000.bmp,10,11,21,yes
pilot23,basler_tstRGB/RGB_green_E100000.bmp,14__basler_tstRGB__RGB_green_E100000.bmp,10,11,21,yes
pilot23,basler_tstRGB/upper_white_E12000.bmp,15__basler_tstRGB__upper_white_E12000.bmp,15,11,26,yes
pilot23,basler_tstRGB/RGB_red_E100000.bmp,16__basler_tstRGB__RGB_red_E100000.bmp,10,11,21,yes
pilot23,basler_tstRGB/RGB_white_E100000.bmp,17__basler_tstRGB__RGB_white_E100000.bmp,10,11,21,yes
pilot23,images/20260116_155352_059.bmp,18__images__20260116_155352_059.bmp,1,1,2,yes
pilot23,images/20260116_155328_028.bmp,19__images__20260116_155328_028.bmp,0,0,0,no
pilot23,images/20260116_155349_837.bmp,20__images__20260116_155349_837.bmp,7,3,10,yes
pilot23,images/20260116_155409_927.bmp,21__images__20260116_155409_927.bmp,0,4,4,yes
pilot23,images/20260116_163012_120.bmp,22__images__20260116_163012_120.bmp,45,7,52,yes
pilot23,images/20260116_161622_390.bmp,23__images__20260116_161622_390.bmp,13,1,14,yes
