epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2731,1.8833,3.49014,1.4184,0,0,0,0,0,0,0,0.00053344,0.00053344,0.00053344
2,67.7169,1.90037,2.76801,1.32848,0,0,0,0,0,0,0,0.00104598,0.00104598,0.00104598
3,103.434,1.94456,2.45859,1.35378,0,0,0,0,0,0,0,0.00151451,0.00151451,0.00151451
4,137.012,1.97761,2.06371,1.38393,0,0,0,0,0,0,0,0.00146896,0.00146896,0.00146896
5,171.832,1.90776,1.8226,1.33506,0,0,0,0,0,0,0,0.00140295,0.00140295,0.00140295
6,205.651,1.81834,1.72022,1.30977,0,0,0,0,0,0,0,0.00133693,0.00133693,0.00133693
7,241.518,1.74712,1.6593,1.23055,0,0,0,0,0,0,0,0.00127092,0.00127092,0.00127092
8,275.195,1.70189,1.82985,1.25884,0,0,0,0,0,0,0,0.00120491,0.00120491,0.00120491
9,309.697,1.56862,1.53199,1.20229,0,0,0,0,0,0,0,0.00113889,0.00113889,0.00113889
10,358.126,1.80833,1.63446,1.28813,0,0,0,0,0,0,0,0.00107288,0.00107288,0.00107288
11,399.809,1.58345,1.59522,1.24019,0,0,0,0,0,0,0,0.00100687,0.00100687,0.00100687
12,429.791,1.53096,1.43914,1.20343,0,0,0,0,0,0,0,0.000940855,0.000940855,0.000940855
13,459.96,1.62461,1.43579,1.23893,0,0,0,0,0,0,0,0.000874842,0.000874842,0.000874842
14,490.542,1.6004,1.48541,1.22819,0,0,0,0,0,0,0,0.000808828,0.000808828,0.000808828
15,520.986,1.62245,1.40731,1.19353,0,0,0,0,0,0,0,0.000742815,0.000742815,0.000742815
16,550.449,1.38568,1.34379,1.16519,0,0,0,0,0,0,0,0.000676802,0.000676802,0.000676802
17,579.798,1.41427,1.41749,1.15529,0,0,0,0,0,0,0,0.000610789,0.000610789,0.000610789
18,608.999,1.37563,1.28373,1.15456,0,0,0,0,0,0,0,0.000544776,0.000544776,0.000544776
19,637.877,1.39503,1.29582,1.17993,0,0,0,0,0,0,0,0.000478762,0.000478762,0.000478762
20,667.248,1.40944,1.2377,1.13433,0,0,0,0,0,0,0,0.000412749,0.000412749,0.000412749
21,695.799,1.23629,1.25273,1.11532,0,0,0,0,0,0,0,0.000346736,0.000346736,0.000346736
22,724.831,1.30568,1.13454,1.13208,0,0,0,0,0,0,0,0.000280723,0.000280723,0.000280723
23,753.494,1.33047,1.13581,1.10843,0,0,0,0,0,0,0,0.00021471,0.00021471,0.00021471
24,782.68,1.26407,2.21334,1.10614,0,0,0,0,0,0,0,0.000148696,0.000148696,0.000148696
25,827.835,1.24673,1.17175,1.11501,0.92656,0.8678,0.93648,0.60874,1.21243,0.90624,1.11981,8.26832e-05,8.26832e-05,8.26832e-05
