set_name,order,group,source_path,cvat_filename
batch_to_50,1,images,images/20260116_163827_140.bmp,001__images__20260116_163827_140.bmp
batch_to_50,2,basler_OldObj,basler_OldObj/Image__2025-12-29__16-07-33.bmp,002__basler_OldObj__Image__2025-12-29__16-07-33.bmp
batch_to_50,3,basler_OldObj,basler_OldObj/Image__2025-12-29__16-07-54.bmp,003__basler_OldObj__Image__2025-12-29__16-07-54.bmp
batch_to_50,4,images,images/20260116_163746_627.bmp,004__images__20260116_163746_627.bmp
batch_to_50,5,basler_OldObj,basler_OldObj/Image__2025-12-29__16-04-40.bmp,005__basler_OldObj__Image__2025-12-29__16-04-40.bmp
batch_to_50,6,basler_120126,basler_120126/Image__2026-01-12__16-47-46.bmp,006__basler_120126__Image__2026-01-12__16-47-46.bmp
batch_to_50,7,images,images/20260116_163332_308.bmp,007__images__20260116_163332_308.bmp
batch_to_50,8,images,images/20260116_161314_255.bmp,008__images__20260116_161314_255.bmp
batch_to_50,9,basler_120126,basler_120126/Image__2026-01-12__16-50-23.bmp,009__basler_120126__Image__2026-01-12__16-50-23.bmp
batch_to_50,10,basler_OldObj,basler_OldObj/Image__2025-12-29__16-08-42.bmp,010__basler_OldObj__Image__2025-12-29__16-08-42.bmp
batch_to_50,11,images,images/20260116_155351_182.bmp,011__images__20260116_155351_182.bmp
batch_to_50,12,basler_OldObj,basler_OldObj/Image__2025-12-29__16-21-44.bmp,012__basler_OldObj__Image__2025-12-29__16-21-44.bmp
batch_to_50,13,images,images/20260116_161425_901.bmp,013__images__20260116_161425_901.bmp
batch_to_50,14,images,images/20260116_161621_960.bmp,014__images__20260116_161621_960.bmp
batch_to_50,15,basler_OldObj,basler_OldObj/Image__2025-12-29__16-13-11.bmp,015__basler_OldObj__Image__2025-12-29__16-13-11.bmp
batch_to_50,16,basler_OldObj,basler_OldObj/Image__2025-12-29__16-09-57.bmp,016__basler_OldObj__Image__2025-12-29__16-09-57.bmp
batch_to_50,17,basler_120126,basler_120126/Image__2026-01-12__17-00-32.bmp,017__basler_120126__Image__2026-01-12__17-00-32.bmp
batch_to_50,18,basler_OldObj,basler_OldObj/Image__2025-12-29__16-32-29.bmp,018__basler_OldObj__Image__2025-12-29__16-32-29.bmp
batch_to_50,19,basler_OldObj,basler_OldObj/Image__2025-12-29__16-21-09.bmp,019__basler_OldObj__Image__2025-12-29__16-21-09.bmp
batch_to_50,20,basler_OldObj,basler_OldObj/Image__2025-12-29__16-11-13.bmp,020__basler_OldObj__Image__2025-12-29__16-11-13.bmp
batch_to_50,21,basler_120126,basler_120126/Image__2026-01-12__16-50-37.bmp,021__basler_120126__Image__2026-01-12__16-50-37.bmp
batch_to_50,22,basler_120126,basler_120126/Image__2026-01-12__17-01-59.bmp,022__basler_120126__Image__2026-01-12__17-01-59.bmp
batch_to_50,23,basler_120126,basler_120126/Image__2026-01-12__16-45-29.bmp,023__basler_120126__Image__2026-01-12__16-45-29.bmp
batch_to_50,24,basler_120126,basler_120126/Image__2026-01-12__16-34-15.bmp,024__basler_120126__Image__2026-01-12__16-34-15.bmp
batch_to_50,25,basler_OldObj,basler_OldObj/Image__2025-12-29__16-22-13.bmp,025__basler_OldObj__Image__2025-12-29__16-22-13.bmp
batch_to_50,26,images,images/20260116_160706_243.bmp,026__images__20260116_160706_243.bmp
batch_to_50,27,basler_120126,basler_120126/Image__2026-01-12__16-34-57.bmp,027__basler_120126__Image__2026-01-12__16-34-57.bmp
